TIME,TIMECORR,PDCSAP_FLUX,PDCSAP_FLUX_ERR,flux_n,flux_n-median
2065.800928,0.004692645,40606.871,7.3565345,0.021509904,0.000442223
2065.82136,0.004691146,40589.551,7.3643384,0.02149886,0.000431179
2065.841792,0.004689646,40534.293,7.3599072,0.021463625,0.000395944
2065.862224,0.004688146,40542.113,7.3637075,0.021468612,0.00040093
2065.882656,0.004686646,40552.34,7.3721561,0.021475133,0.000407451
2065.903088,0.004685145,40572.016,7.3597889,0.021487679,0.000419998
2065.92352,0.004683644,40540.656,7.361012,0.021467683,0.000400001
2065.943952,0.004682142,40548.699,7.3597693,0.021472811,0.00040513
2065.964384,0.00468064,40560.594,7.3751106,0.021480396,0.000412715
2065.984816,0.004679137,40597.93,7.3872786,0.021504203,0.000436521
2066.005249,0.004677634,40588.277,7.370441,0.021498048,0.000430366
2066.025681,0.004676131,40577.699,7.3637757,0.021491303,0.000423621
2066.046113,0.004674627,40590.797,7.366786,0.021499654,0.000431973
2066.066545,0.004673122,40653.875,7.3774052,0.021539875,0.000472194
2066.086977,0.004671617,40656.91,7.3761735,0.021541811,0.000474129
2066.107409,0.004670112,40632.9845,,0.021526555,0.000458874
2066.127841,0.004668607,40609.059,7.375206,0.021511299,0.000443618
2066.148273,0.004667101,40563.535,7.3690982,0.021482271,0.00041459
2066.168705,0.004665595,40556.508,7.3742766,0.02147779,0.000410109
2066.189137,0.004664088,40545.66,7.373096,0.021470873,0.000403192
2066.209569,0.00466258,40487.902,7.3719435,0.021434045,0.000366363
2066.230002,0.004661073,40638.379,7.3832273,0.021529995,0.000462313
2066.250434,0.004659565,40596.141,7.3747568,0.021503062,0.000435381
2066.270866,0.004658056,40497.242,7.3729687,0.02144,0.000372319
2066.291298,0.004656547,40432.539,7.3597989,0.021398743,0.000331062
2066.31173,0.004655038,40439.09,7.3612652,0.02140292,0.000335239
2066.332162,0.004653528,40443.305,7.3644772,0.021405608,0.000337926
2066.352594,0.004652018,40395.0295,,0.021374825,0.000307144
2066.373026,0.004650507,40346.754,7.3440037,0.021344043,0.000276362
2066.393458,0.004648996,40399.234,7.3515954,0.021377506,0.000309825
2066.41389,0.004647485,40525.465,7.3532186,0.021457996,0.000390315
2066.434322,0.004645973,40449.219,7.3691673,0.021409379,0.000341697
2066.454755,0.00464446,40392.438,7.3610692,0.021373173,0.000305492
2066.475187,0.004642947,40392.043,7.3516197,0.021372921,0.00030524
2066.495619,0.004641434,40331.309,7.3513608,0.021334195,0.000266513
2066.516051,0.00463992,40309.508,7.3552947,0.021320294,0.000252612
2066.536483,0.004638406,40364,7.3618269,0.02135504,0.000287358
2066.556915,0.004636892,40267.203,7.3510666,0.021293318,0.000225637
2066.577347,0.004635377,40256.062,7.3434381,0.021286214,0.000218533
2066.597779,0.004633862,40283.457,7.3454041,0.021303682,0.000236001
2066.618211,0.004632346,40320.723,7.3464036,0.021327445,0.000259763
2066.638643,0.00463083,40305.055,7.3611856,0.021317454,0.000249773
2066.659075,0.004629313,40271.34,7.3574991,0.021295956,0.000228275
2066.679508,0.004627796,40259.898,7.3521576,0.02128866,0.000220979
2066.69994,0.004626279,40305.816,7.3626137,0.021317939,0.000250258
2066.720372,0.004624761,40259.363,7.3534808,0.021288319,0.000220638
2066.740804,0.004623243,40238.695,7.3512239,0.02127514,0.000207459
2066.761236,0.004621724,40324.605,7.3545418,0.02132992,0.000262239
2066.781668,0.004620205,40311.734,7.366538,0.021321713,0.000254032
2066.8021,0.004618686,40270.617,7.3542118,0.021295495,0.000227814
2066.822532,0.004617166,40250.883,7.3557849,0.021282912,0.000215231
2066.842964,0.004615645,40226.457,,0.021267337,0.000199656
2066.863396,0.004614125,40202.031,7.3450403,0.021251762,0.000184081
2066.883828,0.004612603,40213.156,7.3399963,0.021258856,0.000191174
2066.90426,0.004611081,40228.645,7.3419118,0.021268732,0.000201051
2066.924693,0.00460956,40229.23,7.3342724,0.021269105,0.000201424
2066.945125,0.004608037,40264.559,7.3451829,0.021291632,0.000223951
2066.965557,0.004606514,40256.938,7.3436365,0.021286773,0.000219092
2066.985989,0.004604991,40252.977,7.3385825,0.021284247,0.000216566
2067.006421,0.004603467,40270.211,7.3440037,0.021295236,0.000227555
2067.026853,0.004601943,40239.824,7.3442693,0.02127586,0.000208179
2067.047285,0.004600419,40214.199,7.3446689,0.021259521,0.000191839
2067.067717,0.004598894,40200.117,7.3429689,0.021250542,0.00018286
2067.088149,0.004597368,40251.031,7.3599782,0.021283006,0.000215325
2067.108581,0.004595842,40208.93,7.3465381,0.021256161,0.00018848
2067.129013,0.004594316,40285.352,7.3457642,0.021304891,0.000237209
2067.149445,0.00459279,40231.277,7.3477283,0.02127041,0.000202729
2067.169878,0.004591262,40213.402,7.3462892,0.021259013,0.000191331
2067.19031,0.004589735,40203.004,7.354928,0.021252382,0.000184701
2067.210742,0.004588207,40163.801,7.3485513,0.021227385,0.000159704
2067.231174,0.004586679,40126.262,7.342844,0.021203449,0.000135767
2067.251606,0.00458515,40146.785,7.3485618,0.021216535,0.000148854
2067.272038,0.004583621,40165.062,7.3446584,0.021228189,0.000160508
2067.29247,0.004582091,40169.586,7.342948,0.021231074,0.000163392
2067.312902,0.004580562,40170.363,7.3482018,0.021231569,0.000163888
2067.333334,0.004579031,40155.8105,,0.02122229,0.000154609
2067.353766,0.0045775,40141.258,7.335721,0.021213011,0.000145329
2067.374198,0.004575969,40203.309,7.338182,0.021252577,0.000184896
2067.39463,0.004574438,40175.566,7.3353462,0.021234887,0.000167206
2067.415062,0.004572906,40133.641,7.3325481,0.021208154,0.000140473
2067.435494,0.004571373,40128.793,7.3423924,0.021205063,0.000137381
2067.455927,0.00456984,40096.176,7.3404508,0.021184265,0.000116583
2067.476359,0.004568307,40021.105,7.3209238,0.021136397,6.87E-05
2067.496791,0.004566773,40034.52,7.3332462,0.02114495,7.73E-05
2067.517223,0.004565239,39966.238,7.3286948,0.021101411,3.37E-05
2067.537655,0.004563705,39960.594,7.3256726,0.021097812,3.01E-05
2067.558087,0.004562169,39975.09,7.3280416,0.021107056,3.94E-05
2067.578519,0.004560634,39951.102,7.3288856,0.02109176,2.41E-05
2067.598951,0.004559098,39894.297,7.3269534,0.021055539,-1.21E-05
2067.619383,0.004557562,39930.961,7.3302913,0.021078917,1.12E-05
2067.639815,0.004556025,39870.973,7.3187771,0.021040666,-2.70E-05
2067.660247,0.004554489,39931.418,7.3346534,0.021079209,1.15E-05
2067.680679,0.004552951,39899.211,7.3259678,0.021058672,-9.01E-06
2067.701111,0.004551413,39890.188,7.3366842,0.021052919,-1.48E-05
2067.721543,0.004549875,39886.711,7.3237557,0.021050702,-1.70E-05
2067.741976,0.004548336,39831.488,7.3285279,0.021015489,-5.22E-05
2067.762407,0.004546797,39794.207,7.3190641,0.020991717,-7.60E-05
2067.78284,0.004545258,39811.879,7.3185291,0.021002986,-6.47E-05
2067.803272,0.004543718,39813.441,7.3208218,0.021003982,-6.37E-05
2067.823704,0.004542178,39778.533,,0.020981723,-8.60E-05
2067.844136,0.004540637,39743.625,7.3066812,0.020959464,-0.000108217
2067.864568,0.004539095,39706.301,7.3043151,0.020935665,-0.000132016
2067.885,0.004537554,39671.656,7.3055348,0.020913574,-0.000154107
2067.905432,0.004536012,39639.328,7.3068314,0.020892961,-0.000174721
2067.925864,0.004534469,39641.484,7.3123889,0.020894335,-0.000173346
2067.946296,0.004532927,39645.168,7.3207488,0.020896684,-0.000170997
2067.966728,0.004531384,39565.277,7.3040614,0.020845743,-0.000221939
2067.98716,0.00452984,39564.527,7.3101101,0.020845264,-0.000222417
2068.007592,0.004528296,39577.82,7.3160181,0.020853741,-0.000213941
2068.028024,0.004526752,39519.766,7.3113794,0.020816723,-0.000250958
2068.048456,0.004525207,39495.051,7.3060613,0.020800964,-0.000266717
2068.068888,0.004523661,39501.85033,,0.012410768,-0.008656913
2068.08932,0.004522116,39508.64967,,0.029204166,0.008136485
2068.109753,0.00452057,39515.449,7.2799907,0.02081397,-0.000253711
2068.130185,0.004519023,39453.309,7.2885337,0.020774348,-0.000293334
2068.150617,0.004517477,39409.383,7.2965932,0.020746339,-0.000321343
2068.171049,0.004515929,39381.281,7.2908125,0.02072842,-0.000339262
2068.191481,0.004514381,39302.352,7.2868714,0.020678091,-0.00038959
2068.211913,0.004512833,39308.82,7.2822871,0.020682216,-0.000385466
2068.232345,0.004511285,39262.613,7.2773581,0.020652752,-0.000414929
2068.252777,0.004509736,39799.195,7.3071275,0.020994898,-7.28E-05
2068.273209,0.004508186,39695.48,7.3039527,0.020928765,-0.000138916
2068.293641,0.004506636,39377.137,7.2828336,0.020725777,-0.000341904
2068.314073,0.004505086,39219.762,7.2856755,0.020625429,-0.000442253
2068.334505,0.004503536,39057.852,7.2782178,0.020522189,-0.000545493
2068.354937,0.004501985,38990.246,7.2823305,0.02047908,-0.000588601
2068.375369,0.004500433,38977.508,7.2757111,0.020470958,-0.000596723
2068.395801,0.004498882,38934.867,7.2753801,0.020443769,-0.000623913
2068.416233,0.00449733,38942.027,7.2725587,0.020448334,-0.000619347
2068.436665,0.004495777,38897.348,7.2724271,0.020419845,-0.000647836
2068.457097,0.004494224,38930.406,7.2837753,0.020440924,-0.000626757
2068.477529,0.00449267,38850.566,7.2716608,0.020390015,-0.000677666
2068.497962,0.004491116,38803.086,7.2702308,0.02035974,-0.000707941
2068.518394,0.004489562,38783.664,7.2696314,0.020347356,-0.000720326
2068.538826,0.004488008,38817.273,7.2797055,0.020368786,-0.000698895
2068.559258,0.004486453,38728.312,7.2680645,0.020312061,-0.00075562
2068.57969,0.004484897,38689.758,7.2642994,0.020287477,-0.000780204
2068.600122,0.004483341,38650.52,7.264348,0.020262458,-0.000805224
2068.620554,0.004481785,38576.699,7.265595,0.020215387,-0.000852295
2068.640986,0.004480228,38531.441,7.2691031,0.020186528,-0.000881153
2068.661418,0.004478671,38465.711,7.2619357,0.020144616,-0.000923065
2068.68185,0.004477114,38471.754,7.2671428,0.02014847,-0.000919212
2068.702282,0.004475556,38415.613,7.2656922,0.020112672,-0.000955009
2068.722714,0.004473998,38363.211,7.2657075,0.020079258,-0.000988423
2068.743146,0.004472439,38247.359,7.2470636,0.020005387,-0.001062295
2068.763578,0.00447088,38183.191,7.2417293,0.01996447,-0.001103211
2068.78401,0.00446932,38179.613,7.2408485,0.019962189,-0.001105492
2068.804442,0.00446776,38119.783,,0.019924039,-0.001143642
2068.824874,0.0044662,38059.953,7.2236032,0.019885889,-0.001181792
2068.845306,0.004464639,38026.605,7.2337976,0.019864625,-0.001203056
2068.865738,0.004463078,38017.488,7.225843,0.019858812,-0.00120887
2068.88617,0.004461517,37959.203,7.2327862,0.019821647,-0.001246034
2068.906603,0.004459955,37917.484,7.2296805,0.019795045,-0.001272636
2068.927034,0.004458393,37873.93,7.2213616,0.019767274,-0.001300408
2068.947466,0.00445683,37785.59,7.2167473,0.019710944,-0.001356737
2068.967899,0.004455267,37779.527,7.2343187,0.019707078,-0.001360603
2068.988331,0.004453703,37758.438,7.2243104,0.019693631,-0.00137405
2069.008763,0.004452139,37707.523,7.2183681,0.019661166,-0.001406515
2069.029195,0.004450575,37648.816,7.2146363,0.019623732,-0.001443949
2069.049627,0.00444901,37594.113,7.211648,0.019588851,-0.00147883
2069.070059,0.004447445,37578.473,7.2172461,0.019578879,-0.001488803
2069.090491,0.004445879,37514.531,7.2167115,0.019538107,-0.001529575
2069.110923,0.004444313,37597.184,7.2124615,0.019590809,-0.001476872
2069.131355,0.004442747,37626.246,7.2227368,0.019609341,-0.001458341
2069.151787,0.00444118,37504.625,7.2132034,0.01953179,-0.001535891
2069.172219,0.004439613,37541.156,7.2112074,0.019555084,-0.001512598
2069.192651,0.004438045,37461.457,7.2095017,0.019504265,-0.001563417
2069.213083,0.004436477,37425.191,7.2064943,0.01948114,-0.001586541
2069.233515,0.004434909,37439.211,7.210875,0.01949008,-0.001577602
2069.253947,0.00443334,37451.258,7.2187018,0.019497761,-0.00156992
2069.274379,0.004431771,37502.438,7.2259998,0.019530396,-0.001537286
2069.294811,0.004430201,37472.2855,,0.019511169,-0.001556512
